produkt_id,produkt,wariant_id,pozycja,szerokosc_od_mm,szerokosc_do_mm,wysokosc_od_mm,wysokosc_do_mm,minimalna_glebokosc_mm,wykonczenie,cena_brutto_pln,zrodlo_selly
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,706,52,621,825,831,1050,300,Biały RAL 9010,1303,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,707,53,621,825,1051,1240,300,Aluminium decor,1377,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,708,54,621,825,1051,1240,300,Biały RAL 9010,1377,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,709,55,621,825,1241,1400,300,Aluminium decor,1484,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,710,56,621,825,1241,1400,300,Biały RAL 9010,1484,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,711,57,621,825,1401,1600,300,Aluminium decor,1569,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,712,58,621,825,1401,1600,300,Biały RAL 9010,1569,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,713,59,621,825,1601,1800,300,Aluminium decor,1603,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,714,60,621,825,1601,1800,300,Biały RAL 9010,1603,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,715,61,621,825,1801,2000,300,Aluminium decor,1677,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,716,62,621,825,1801,2000,300,Biały RAL 9010,1677,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,717,63,621,825,2001,2200,300,Aluminium decor,1756,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,718,64,621,825,2001,2200,300,Biały RAL 9010,1756,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,719,65,621,825,350,625,300,Aluminium decor,1144,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,720,66,621,825,350,625,300,Biały RAL 9010,1144,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,721,67,826,1200,626,830,300,Aluminium decor,1416,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,722,68,826,1200,626,830,300,Biały RAL 9010,1416,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,723,69,826,1200,831,1050,300,Aluminium decor,1520,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,724,70,826,1200,831,1050,300,Biały RAL 9010,1520,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,725,71,826,1200,1051,1240,300,Aluminium decor,1632,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,726,72,826,1200,1051,1240,300,Biały RAL 9010,1632,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,727,73,826,1200,1241,1400,300,Aluminium decor,1767,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,728,74,826,1200,1241,1400,300,Biały RAL 9010,1767,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
